index,Lever position,Ship speed (v),Gas Turbine (GT) shaft torque (GTT) (kN m),GT rate of revolutions (GTn) (rpm),Gas Generator rate of revolutions (GGn) (rpm),Starboard Propeller Torque (Ts) (kN),Port Propeller Torque (Tp) (kN),Hight Pressure (HP) Turbine exit temperature (T48) (C),GT Compressor inlet air temperature (T1) (C),GT Compressor outlet air temperature (T2) (C),HP Turbine exit pressure (P48) (bar),GT Compressor inlet air pressure (P1) (bar),GT Compressor outlet air pressure (P2) (bar),GT exhaust gas pressure (Pexh) (bar),Turbine Injecton Control (TIC) (%),Fuel flow (mf) (kg/s),GT Compressor decay state coefficient,GT Turbine decay state coefficient
10501,8.206,24,50992.989,3087.449,9302.224,437.98,437.98,899.847,288,724.328,3.591,0.998,18.331,1.042,58.581,1.16,0.994,0.997
5141,3.144,9,8379.177,1386.758,7127.825,60.361,60.361,576.304,288,579.31,1.388,0.998,7.403,1.02,11.892,0.235,0.971,1.0
3811,5.14,15,21632.488,1924.319,8485.641,175.267,175.267,715.972,288,640.334,2.082,0.998,11.141,1.026,25.592,0.507,0.966,0.982
10381,5.14,15,21624.105,1924.317,8461.269,175.233,175.233,699.595,288,633.182,2.09,0.998,11.16,1.027,24.82,0.491,0.994,0.984
3450,4.161,12,14723.667,1547.469,7798.353,113.795,113.795,638.214,288,607.697,1.656,0.998,8.849,1.023,17.047,0.337,0.964,0.994
4591,2.088,6,3110.494,1376.053,6825.984,28.05,28.05,502.781,288,559.83,1.21,0.998,6.486,1.02,3.771,0.13,0.969,0.991
7352,9.3,27,72766.986,3560.394,9750.788,644.739,644.739,1071.55,288,776.419,4.524,0.998,22.74,1.051,89.066,1.763,0.981,0.985
205,8.206,24,50994.939,3087.57,9326.567,438.063,438.063,929.639,288,738.284,3.557,0.998,18.168,1.041,60.335,1.194,0.95,0.997
6680,3.144,9,8377.201,1386.747,7083.948,60.337,60.337,581.853,288,579.413,1.39,0.998,7.485,1.02,12.141,0.24,0.978,0.989
2749,5.14,15,21636.28,1924.341,8501.377,175.301,175.301,707.072,288,639.423,2.077,0.998,10.998,1.026,25.046,0.496,0.961,0.994
1849,5.14,15,21638.09,1924.351,8508.934,175.315,175.315,705.402,288,639.715,2.074,0.998,10.947,1.026,24.924,0.493,0.957,0.998
11583,1.138,3,4581.478,1380.452,6632.047,9.212,9.212,565.181,288,560.487,1.258,0.998,6.78,1.019,4.96,0.211,0.999,0.988
3240,1.138,3,1209.427,1316.642,6684.25,5.708,5.708,493.093,288,550.223,1.128,0.998,6.036,1.019,25.052,0.137,0.963,0.997
9486,1.138,3,1328.832,1346.678,6626.243,7.267,7.267,479.54,288,546.833,1.137,0.998,6.112,1.019,13.134,0.114,0.99,0.989
3109,5.14,15,21633.476,1924.32,8488.522,175.303,175.303,717.562,288,641.08,2.081,0.998,11.136,1.026,25.663,0.508,0.963,0.982
5934,4.161,12,14721.032,1547.456,7753.378,113.768,113.768,641.872,288,606.902,1.661,0.998,8.949,1.022,17.265,0.342,0.975,0.984
5810,6.175,18,29792.331,2307.385,8824.006,246.208,246.208,764.741,288,665.883,2.504,0.998,13.116,1.031,33.629,0.666,0.974,0.996
5634,1.138,3,4647.22,1334.152,6626.601,6.692,6.692,602.397,288,566.698,1.248,0.998,6.826,1.019,25.621,0.259,0.974,0.977
4307,6.175,18,29790.46,2307.473,8819.136,246.184,246.184,779.72,288,669.731,2.505,0.998,13.253,1.03,34.567,0.684,0.968,0.985
3156,7.148,21,38984.752,2678.077,9132.009,332.11,332.11,833.43,288,693.759,2.965,0.998,15.516,1.035,44.437,0.88,0.963,0.987
6534,1.138,3,6386.286,1333.046,6674.272,6.58,6.58,628.385,288,569.17,1.297,0.998,6.971,1.019,24.876,0.3,0.977,0.999
10362,4.161,12,14717.805,1547.445,7707.667,113.734,113.734,635.135,288,603.19,1.665,0.998,8.985,1.023,17.009,0.337,0.994,0.982
9890,9.3,27,72760.662,3560.376,9734.764,645.04,645.04,1063.185,288,773.263,4.543,0.998,22.922,1.051,88.65,1.755,0.992,0.981
3832,8.206,24,50995.121,3087.549,9312.203,438.066,438.066,931.915,288,735.118,3.58,0.998,18.494,1.041,60.935,1.206,0.966,0.984
10388,3.144,9,8374.91,1386.733,7038.658,60.296,60.296,578.02,288,576.627,1.393,0.998,7.521,1.02,12.011,0.238,0.994,0.985
4776,7.148,21,38990.03,2678.074,9127.585,332.298,332.298,830.768,288,691.919,2.971,0.998,15.573,1.035,44.348,0.878,0.97,0.985
7997,6.175,18,29761.436,2306.831,8795.292,245.967,245.967,777.989,288,667.178,2.512,0.998,13.361,1.03,34.574,0.685,0.984,0.979
4276,2.088,6,2902.405,1357.262,6793.381,24.611,24.611,511.293,288,560.119,1.199,0.998,6.488,1.019,13.734,0.145,0.968,0.982
8845,8.206,24,50993.354,3087.47,9305.166,437.993,437.993,906.45,288,726.788,3.588,0.998,18.346,1.042,59.044,1.169,0.987,0.995
11448,1.138,3,3489.328,1408.611,6676.461,10.829,10.829,522.129,288,555.115,1.226,0.998,6.532,1.019,0.0,0.159,0.998,0.999
278,9.3,27,72766.064,3560.409,9780.488,644.737,644.737,1111.004,288,788.149,4.494,0.998,22.708,1.049,92.049,1.822,0.951,0.979
6771,4.161,12,14721.702,1547.464,7776.381,113.761,113.761,627.669,288,603.888,1.658,0.998,8.819,1.023,16.585,0.328,0.978,0.999
7415,9.3,27,72772.89,3560.403,9756.784,644.849,644.849,1065.498,288,775.376,4.516,0.998,22.552,1.051,88.334,1.749,0.981,0.992
3252,4.161,12,14724.135,1547.472,7808.74,113.801,113.801,635.256,288,607.286,1.655,0.998,8.813,1.023,16.899,0.335,0.963,0.998
8538,7.148,21,39000.377,2678.05,9120.939,332.326,332.326,818.217,288,686.706,2.981,0.998,15.592,1.036,43.622,0.864,0.986,0.987
11213,9.3,27,72773.928,3560.397,9744.447,645.111,645.111,1043.236,288,768.92,4.529,0.998,22.498,1.052,86.496,1.712,0.997,0.998
289,2.088,6,6700.668,1360.796,6831.941,25.381,25.381,627.019,288,579.275,1.319,0.998,7.18,1.019,18.085,0.284,0.951,0.981
3075,7.148,21,38988.567,2678.07,9127.444,332.154,332.154,842.728,288,695.3,2.97,0.998,15.67,1.035,45.169,0.894,0.963,0.978
8643,4.161,12,14720.481,1547.46,7758.447,113.756,113.756,624.141,288,602.189,1.66,0.998,8.826,1.023,16.442,0.325,0.986,0.999
8463,4.161,12,14718.848,1547.447,7719.237,113.746,113.746,641.309,288,605.357,1.664,0.998,9.005,1.023,17.279,0.342,0.986,0.979
270,1.138,3,1546.392,1396.909,6718.145,10.331,10.331,495.846,288,557.491,1.151,0.998,6.228,1.019,0.0,0.114,0.951,0.979
4570,8.206,24,50994.56,3087.525,9312.173,438.111,438.111,925.685,288,733.523,3.579,0.998,18.423,1.041,60.426,1.196,0.969,0.988
10464,7.148,21,39003.082,2678.049,9120.19,332.339,332.339,807.091,288,683.314,2.982,0.998,15.517,1.036,42.864,0.849,0.994,0.993
6696,1.138,3,453.691,1346.123,6653.821,7.258,7.258,451.038,288,543.783,1.102,0.998,5.9,1.019,8.908,0.077,0.978,0.991
4316,6.175,18,29790.744,2307.452,8820.16,246.232,246.232,778.622,288,669.509,2.505,0.998,13.239,1.03,34.494,0.683,0.968,0.986
3180,4.161,12,14723.563,1547.467,7792.62,113.788,113.788,642.119,288,608.549,1.657,0.998,8.884,1.022,17.232,0.341,0.963,0.99
1422,1.138,3,739.751,1324.304,6653.333,6.175,6.175,490.559,288,552.094,1.112,0.998,6.052,1.019,21.88,0.125,0.956,0.977
8275,5.14,15,21626.826,1924.319,8469.543,175.243,175.243,704.161,288,635.331,2.087,0.998,11.147,1.026,25.03,0.495,0.985,0.984
9433,2.088,6,5677.215,1394.011,6771.622,31.47,31.47,569.864,288,567.685,1.301,0.998,7.034,1.02,0.0,0.211,0.99,0.983
4557,4.161,12,14722.199,1547.462,7772.868,113.756,113.756,641.981,288,607.719,1.659,0.998,8.916,1.022,17.248,0.341,0.969,0.987
7812,1.138,3,1233.923,1341.787,6627.669,7.03,7.03,483.97,288,548.237,1.133,0.998,6.113,1.019,15.386,0.119,0.983,0.985
6297,7.148,21,38988.433,2678.085,9131.23,332.285,332.285,813.75,288,687.901,2.967,0.998,15.375,1.036,43.098,0.853,0.976,0.998
11781,1.138,3,2504.755,1362.861,6606.614,8.191,8.191,511.385,288,551.678,1.184,0.998,6.396,1.019,9.911,0.149,1.0,0.984
11567,3.144,9,8374.358,1386.73,7030.371,60.298,60.298,575.081,288,575.448,1.393,0.998,7.516,1.021,11.896,0.236,0.999,0.986
1132,8.206,24,50994.73,3087.551,9323.886,438.0,438.0,927.829,288,737.114,3.561,0.998,18.204,1.041,60.265,1.193,0.954,0.996
6242,6.175,18,29790.373,2307.47,8817.788,246.182,246.182,767.991,288,666.268,2.506,0.998,13.174,1.03,33.861,0.67,0.976,0.992
9071,9.3,27,72772.889,3560.398,9750.793,644.905,644.905,1056.201,288,772.626,4.523,0.998,22.545,1.051,87.59,1.734,0.988,0.994
11173,5.14,15,21624.929,1924.332,8467.42,175.21,175.21,688.671,288,630.7,2.088,0.998,11.052,1.027,24.199,0.479,0.997,0.994
7423,8.206,24,50993.741,3087.486,9307.605,438.001,438.001,912.459,288,728.963,3.584,0.998,18.365,1.042,59.471,1.177,0.981,0.993
8704,2.088,6,4908.696,1394.828,6771.256,31.594,31.594,552.13,288,565.854,1.277,0.998,6.918,1.02,0.0,0.187,0.987,0.98
8973,1.138,3,4533.108,1343.095,6620.299,7.122,7.122,584.283,288,562.526,1.247,0.998,6.77,1.019,21.381,0.241,0.988,0.984
5520,4.161,12,14721.951,1547.461,7769.779,113.774,113.774,637.57,288,606.377,1.659,0.998,8.893,1.023,17.049,0.338,0.973,0.99
10378,2.088,6,6960.445,1377.83,6755.272,28.454,28.454,606.762,288,571.006,1.335,0.998,7.235,1.02,8.308,0.266,0.994,0.984
8962,8.206,24,50992.563,3087.417,9299.129,438.107,438.107,919.35,288,728.631,3.598,0.998,18.616,1.042,60.269,1.193,0.988,0.982
3786,7.148,21,38990.084,2678.069,9126.488,332.258,332.258,839.649,288,694.189,2.972,0.998,15.663,1.035,44.979,0.891,0.966,0.979
9479,3.144,9,8375.627,1386.737,7054.893,60.316,60.316,577.392,288,577.029,1.392,0.998,7.497,1.02,11.977,0.237,0.99,0.988
8345,3.144,9,8376.649,1386.743,7075.984,60.322,60.322,576.427,288,577.502,1.391,0.998,7.466,1.02,11.926,0.236,0.985,0.992
2161,2.088,6,4726.382,1344.231,6803.265,22.333,22.333,574.707,288,569.865,1.256,0.998,6.829,1.019,23.799,0.226,0.959,0.981
3008,3.144,9,8380.058,1386.762,7140.816,60.369,60.369,582.646,288,581.681,1.388,0.998,7.42,1.02,12.141,0.24,0.962,0.997
1105,8.206,24,50995.133,3087.568,9322.683,438.115,438.115,930.879,288,737.568,3.563,0.998,18.265,1.041,60.55,1.199,0.954,0.993
8824,5.14,15,21627.81,1924.332,8475.741,175.23,175.23,694.608,288,633.249,2.085,0.998,11.048,1.027,24.486,0.485,0.987,0.993
692,9.3,27,72781.979,3560.547,9794.213,644.878,644.878,1092.381,288,785.091,4.471,0.998,22.178,1.049,89.896,1.78,0.952,0.999
4956,7.148,21,38993.548,2678.062,9124.063,332.222,332.222,836.285,288,692.639,2.975,0.998,15.679,1.035,44.801,0.887,0.971,0.979
8307,1.138,3,1315.723,1375.207,6652.658,8.901,8.901,472.332,288,547.927,1.14,0.998,6.118,1.019,1.895,0.097,0.985,0.988
4369,5.14,15,21633.715,1924.335,8492.792,175.273,175.273,705.301,288,638.043,2.079,0.998,11.031,1.026,24.989,0.495,0.968,0.992
2765,3.144,9,8380.032,1386.762,7140.55,60.37,60.37,583.884,288,582.044,1.388,0.998,7.427,1.02,12.191,0.241,0.961,0.996
3929,6.175,18,29794.283,2307.313,8831.557,246.318,246.318,769.929,288,668.032,2.501,0.998,13.114,1.03,33.904,0.671,0.966,0.995
9125,9.3,27,72777.347,3560.409,9755.822,645.063,645.063,1051.14,288,771.756,4.516,0.998,22.386,1.051,86.975,1.722,0.988,1.0
11722,5.14,15,21620.857,1924.306,8449.635,175.192,175.192,703.314,288,633.026,2.094,0.998,11.25,1.027,25.074,0.496,1.0,0.977
7778,3.144,9,8375.752,1386.739,7052.597,60.317,60.317,586.014,288,579.512,1.392,0.998,7.545,1.02,12.326,0.244,0.983,0.981
628,8.206,24,50996.746,3087.61,9323.461,438.123,438.123,933.309,288,738.38,3.563,0.998,18.278,1.041,60.728,1.202,0.952,0.992
2451,4.161,12,14723.669,1547.467,7793.509,113.793,113.793,646.11,288,609.686,1.657,0.998,8.908,1.022,17.413,0.345,0.96,0.987
3824,9.3,27,72767.44,3560.411,9766.15,645.087,645.087,1090.034,288,782.054,4.508,0.998,22.696,1.05,90.449,1.79,0.966,0.983
10704,4.161,12,14718.617,1547.452,7728.8,113.737,113.737,624.418,288,601.081,1.663,0.998,8.878,1.023,16.488,0.326,0.995,0.994
3743,9.3,27,72781.406,3560.426,9780.638,645.088,645.088,1076.52,288,780.06,4.486,0.998,22.236,1.05,88.76,1.757,0.965,1.0
2176,8.206,24,50997.12,3087.605,9315.611,438.03,438.03,938.741,288,737.693,3.577,0.998,18.513,1.041,61.408,1.216,0.959,0.982
6689,3.144,9,8377.288,1386.747,7086.488,60.337,60.337,581.063,288,579.268,1.39,0.998,7.477,1.02,12.107,0.24,0.978,0.99
3318,7.148,21,38988.765,2678.069,9127.463,332.176,332.176,841.004,288,694.813,2.97,0.998,15.656,1.035,45.051,0.892,0.964,0.979
8674,8.206,24,50987.449,3087.221,9297.01,437.955,437.955,926.429,288,729.956,3.602,0.998,18.736,1.042,60.9,1.206,0.987,0.976
7432,8.206,24,50993.693,3087.484,9308.019,438.024,438.024,911.434,288,728.802,3.584,0.998,18.344,1.042,59.375,1.175,0.981,0.994
2787,7.148,21,38979.753,2678.082,9138.542,332.169,332.169,823.714,288,692.554,2.957,0.998,15.326,1.035,43.634,0.864,0.961,0.998
1196,9.3,27,72764.217,3560.393,9774.182,645.0,645.0,1108.103,288,786.953,4.501,0.998,22.789,1.049,91.946,1.82,0.955,0.977
